operator,metro,quarter,severity,n_conservative,n_liberal,n_conservative_svc,n_liberal_svc
cruise,california,2023Q3,sgo_any,43,43,20,20
cruise,california,2023Q3,police_reportable_proxy,19,19,9,9
cruise,california,2023Q3,any_injury,7,7,4,4
cruise,california,2023Q3,airbag_or_tow,19,19,9,9
cruise,california,2023Q3,serious_plus,1,1,1,1
cruise,california,2023Q4,sgo_any,7,7,3,3
cruise,california,2023Q4,police_reportable_proxy,3,3,1,1
cruise,california,2023Q4,any_injury,2,2,1,1
cruise,california,2023Q4,airbag_or_tow,3,3,1,1
cruise,california,2023Q4,serious_plus,1,1,0,0
waymo,california,2023Q3,sgo_any,13,13,7,7
waymo,california,2023Q3,police_reportable_proxy,3,3,3,3
waymo,california,2023Q3,any_injury,1,1,1,1
waymo,california,2023Q3,airbag_or_tow,3,3,3,3
waymo,california,2023Q3,serious_plus,0,0,0,0
waymo,california,2023Q4,sgo_any,15,15,12,12
waymo,california,2023Q4,police_reportable_proxy,2,2,2,2
waymo,california,2023Q4,any_injury,2,2,2,2
waymo,california,2023Q4,airbag_or_tow,2,2,2,2
waymo,california,2023Q4,serious_plus,1,1,1,1
waymo,california,2024Q1,sgo_any,19,19,13,13
waymo,california,2024Q1,police_reportable_proxy,5,5,4,4
waymo,california,2024Q1,any_injury,2,2,1,1
waymo,california,2024Q1,airbag_or_tow,5,5,4,4
waymo,california,2024Q1,serious_plus,0,0,0,0
waymo,california,2024Q2,sgo_any,45,45,33,33
waymo,california,2024Q2,police_reportable_proxy,13,13,8,8
waymo,california,2024Q2,any_injury,4,4,4,4
waymo,california,2024Q2,airbag_or_tow,13,13,8,8
waymo,california,2024Q2,serious_plus,0,0,0,0
waymo,california,2024Q3,sgo_any,79,79,57,57
waymo,california,2024Q3,police_reportable_proxy,16,16,11,11
waymo,california,2024Q3,any_injury,2,2,1,1
waymo,california,2024Q3,airbag_or_tow,16,16,11,11
waymo,california,2024Q3,serious_plus,0,0,0,0
waymo,california,2024Q4,sgo_any,139,139,111,111
waymo,california,2024Q4,police_reportable_proxy,38,38,35,35
waymo,california,2024Q4,any_injury,9,9,7,7
waymo,california,2024Q4,airbag_or_tow,38,38,35,35
waymo,california,2024Q4,serious_plus,1,1,1,1
waymo,california,2025Q1,sgo_any,138,139,112,113
waymo,california,2025Q1,police_reportable_proxy,47,47,36,36
waymo,california,2025Q1,any_injury,16,16,16,16
waymo,california,2025Q1,airbag_or_tow,47,47,36,36
waymo,california,2025Q1,serious_plus,1,1,1,1
waymo,california,2025Q2,sgo_any,152,152,117,117
