report_id,version,entity,city,state,injury_severity,incident_date,airbag,towed,narrative_len,vin,incident_time,driver_type,same_incident_id,same_vehicle_id,service_context,operator,any_injury,serious_plus,metro,quarter
30270-10919,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-05-01,False,False,685,SADHW2S14R1,05:41,,9ed92f4565a42d7,fb4b507fa0fd555,True,waymo,False,False,california,2025Q2
30270-10970,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,885,SADHW2S12R1,13:33,,d582818dfc3c40d,15838fb78bcd782,True,waymo,False,False,california,2025Q2
30270-10917,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,876,SADHW2S18R1,12:06,,ae53ba9420d628d,5c94bfbcaa51d6a,True,waymo,False,False,california,2025Q2
30270-10953,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-05-01,False,False,1071,SADHW2S1XR1,21:38,,972f0d5649cad92,09a9755835b507c,True,waymo,False,False,california,2025Q2
30270-10962,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,868,SADHW2S19M1,17:32,,f6717c777b1d250,16a44d106902a4f,True,waymo,False,False,california,2025Q2
30270-10859,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-05-01,False,False,975,SADHW2S12R1,16:06,,9ecb58bd6ee3519,228b0057ae12b8a,True,waymo,False,False,california,2025Q2
30270-11016,2,Waymo LLC,San Francisco,CA,Moderate,2025-06-01,False,False,1480,SADHW2S11R1,07:50,,35e1d72cfe04d8a,b90eacc91cb4466,True,waymo,True,False,california,2025Q2
30270-11014,2,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-06-01,False,False,1055,SADHW2S17R1,19:00,,7c41add3714a781,b5b1925d35a914d,True,waymo,False,False,california,2025Q2
30270-11035,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,984,SADHW2S16M1,21:32,,02f03480ef1d448,3c6f579b1a334dc,True,waymo,False,False,california,2025Q2
30270-11067,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,966,SADHW2S19R1,21:25,,0c9a90bc73ade6f,adca7777fe00060,True,waymo,False,False,california,2025Q2
30270-11002,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,799,SADHW2S13R1,23:31,,a206de7f11fc179,c366ba7df129464,True,waymo,False,False,california,2025Q2
30270-11066,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,891,SADHW2S14R1,07:51,,d6f40a1ebd09055,1529671f5525447,True,waymo,False,False,california,2025Q2
30270-10964,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,843,SADHW2S16R1,17:57,,f051ff34dee722a,008595536df2d92,True,waymo,False,False,california,2025Q2
30270-10968,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,933,SADHW2S1XR1,18:43,,125ee94589347cf,ebc1e9e1f5caa66,False,waymo,False,False,california,2025Q2
30270-10918,1,Waymo LLC,Beverly Hills,CA,No Injuries Reported,2025-05-01,False,False,934,SADHW2S12R1,15:25,,e5297d66f8ee1f3,135ea8015706e50,True,waymo,False,False,california,2025Q2
30270-10921,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,746,SADHW2S1XR1,11:40,,91dc44a6aa3f5e2,30d416716606fc7,True,waymo,False,False,california,2025Q2
30270-10976,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,769,SADHW2S12R1,07:40,,264fa83376a7ecd,cab21758c7b4a25,True,waymo,False,False,california,2025Q2
30270-10860,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,1076,SADHW2S16R1,19:48,,1582044c0ac6e04,9c2dfc0a39ffaa3,True,waymo,False,False,california,2025Q2
30270-11019,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-05-01,False,False,796,SADHW2S10R1,17:04,,25685a1a4167c35,b3ed4a7cd298412,True,waymo,False,False,california,2025Q2
30270-10975,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-05-01,False,False,727,SADHW2S18R1,18:07,,350b7ff1d9a3d40,e3ba84a36946df9,True,waymo,False,False,california,2025Q2
30270-10928,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,866,SADHW2S18M1,16:12,,1b04ac3821b9568,57225f078b74141,True,waymo,False,False,california,2025Q2
30270-10974,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-05-01,False,False,934,SADHW2S16R1,13:41,,cc65e1264726157,2c5baac76ee95ab,True,waymo,False,False,california,2025Q2
30270-10973,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,642,SADHW2S15R1,09:47,,c567f6216700e57,6060f6e3fa3dfaf,True,waymo,False,False,california,2025Q2
30270-10897,1,Waymo LLC,Culver City,CA,No Injuries Reported,2025-05-01,False,False,765,SADHW2S12R1,07:37,,26fc6d4a23d798b,36f0229028ff3bd,True,waymo,False,False,california,2025Q2
30270-10925,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-05-01,False,False,806,SADHW2S1XR1,20:31,,837457b0986d726,a43e67616b1e45c,True,waymo,False,False,california,2025Q2
30270-10972,1,Waymo LLC,Culver City,CA,No Injuries Reported,2025-05-01,False,False,748,SADHW2S1XR1,06:07,,3865c8210728aa2,6b11d4088fb9e69,True,waymo,False,False,california,2025Q2
30270-10894,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-05-01,False,False,1237,SADHW2S10R1,16:17,,435d9c04a6a3a39,2bf595a08da97da,True,waymo,False,False,california,2025Q2
30270-10969,1,Waymo LLC,San Francisco,CA,Minor,2025-05-01,False,False,745,SADHW2S16R1,14:13,,bd5d57b4a81664d,23dca52bf69aa98,True,waymo,True,False,california,2025Q2
30270-10886,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,1046,SADHW2S14R1,12:38,,5890c0fce2d43c9,1529671f5525447,True,waymo,False,False,california,2025Q2
30270-10961,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,889,SADHW2S19R1,18:02,,850eff4a4c154b4,ddfca1fa270c3fd,True,waymo,False,False,california,2025Q2
30270-10890,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-05-01,False,False,987,SADHW2S1XR1,16:05,,375e3fe90e57fff,9436196da9eee95,True,waymo,False,False,california,2025Q2
30270-10924,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,934,SADHW2S17R1,15:40,,9323cdd86d936cc,44e937d6f707822,True,waymo,False,False,california,2025Q2
30270-10956,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-05-01,False,False,708,SADHW2S18R1,11:35,,5a1bd34a2ad2bc5,7bf41be031891ae,False,waymo,False,False,california,2025Q2
30270-10888,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,782,SADHW2S1XR1,10:20,,7f937c99a600db3,21abb73f00f3a18,True,waymo,False,False,california,2025Q2
30270-10861,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,786,SADHW2S18R1,09:33,,f9aa6814a8a22df,88de18aafbf11eb,False,waymo,False,False,california,2025Q2
30270-10952,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,905,SADHW2S12R1,14:23,,d8bf17e48204af3,5e305338da01303,True,waymo,False,False,california,2025Q2
30270-10958,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-05-01,False,False,789,SADHW2S15R1,20:28,,0004c97b78f8dcb,e306d3b3437f8a0,False,waymo,False,False,california,2025Q2
30270-10926,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,1048,SADHW2S16M1,08:30,,b7f23b1bc1fe8e7,d13ac18a7edf332,True,waymo,False,False,california,2025Q2
30270-10951,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,839,SADHW2S12R1,13:29,,6cc5f0671f888bd,bf7fa06b59c7ec8,True,waymo,False,False,california,2025Q2
30270-10963,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-05-01,False,False,820,SADHW2S19R1,11:10,,8b80fcf366fb159,5112208df64a515,True,waymo,False,False,california,2025Q2
30270-10898,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,945,SADHW2S17R1,15:11,,d62b1a61bfcc776,d5aa0d54c32a6e9,True,waymo,False,False,california,2025Q2
30270-10887,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,793,SADHW2S12R1,21:34,,c13b47e892af43d,64e2731246da764,True,waymo,False,False,california,2025Q2
30270-10959,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,844,SADHW2S16R1,22:35,,f9ce00c7d13ada9,e1fd8590ddc22f7,True,waymo,False,False,california,2025Q2
30270-10966,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-05-01,False,False,829,SADHW2S13R1,21:57,,ce790f1a393e1af,d9d5dc741b88875,True,waymo,False,False,california,2025Q2
30270-10885,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,888,SADHW2S19R1,08:12,,0a39c04c0350356,67ebc4050d000ef,True,waymo,False,False,california,2025Q2
30270-10893,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-05-01,False,False,828,SADHW2S14R1,20:51,,cff0eb3cf70a23a,756b6782e9aa439,True,waymo,False,False,california,2025Q2
30270-10960,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,False,928,SADHW2S12R1,13:27,,bc86c2d88543f19,07bf5e498a7e5e7,True,waymo,False,False,california,2025Q2
30270-10977,2,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-06-01,False,False,1197,SADHW2S1XR1,14:12,,9230a22bfd4a593,e61c32395715a3f,False,waymo,False,False,california,2025Q2
30270-11046,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-06-01,False,True,1132,SADHW2S18R1,15:02,,3ef33e040b7b3dc,787d8e13705ed24,True,waymo,False,False,california,2025Q2
30270-11044,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-06-01,False,False,1063,SADHW2S1XM1,17:07,,713a6738192af30,3e0df0d9509ae6b,False,waymo,False,False,california,2025Q2
30270-11016,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-06-01,False,False,1092,SADHW2S11R1,07:50,,35e1d72cfe04d8a,b90eacc91cb4466,True,waymo,False,False,california,2025Q2
30270-11005,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,True,919,SADHW2S18R1,17:05,,aa443743268825d,b548f8e8e2f805d,True,waymo,False,False,california,2025Q2
30270-10991,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,True,924,SADHW2S10R1,19:51,,2467ac3f476695d,ebda0b5465bb521,True,waymo,False,False,california,2025Q2
30270-11014,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-06-01,False,False,905,SADHW2S17R1,19:00,,7c41add3714a781,b5b1925d35a914d,True,waymo,False,False,california,2025Q2
30270-10927,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,True,1053,SADHW2S13R1,05:48,,7826d98d4bd1275,86a8e0bdf8e2f38,True,waymo,False,False,california,2025Q2
30270-10892,2,Waymo LLC,Santa Monica,CA,Minor,2025-05-01,False,True,1082,SADHW2S11R1,11:04,,a2ed9f0f8198649,922a650cd4fb541,True,waymo,True,False,california,2025Q2
30270-10868,2,Waymo LLC,Daly City,CA,No Injuries Reported,2025-05-01,False,True,1076,SADHW2S15M1,21:08,,59f13545e1948d1,e1d17d1b67dae98,True,waymo,False,False,california,2025Q2
30270-10977,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-06-01,False,False,1047,SADHW2S1XR1,14:12,,9230a22bfd4a593,e61c32395715a3f,False,waymo,False,False,california,2025Q2
30270-10909,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,True,762,SADHW2S13R1,13:49,,aa8cc04d9bd00c9,356f5c95bf804e5,True,waymo,False,False,california,2025Q2
30270-10900,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,True,True,864,SADHW2S16M1,02:54,,29c8ff1d5aa6c30,d319491d208a25b,True,waymo,False,False,california,2025Q2
30270-10899,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,True,926,SADHW2S1XR1,18:14,,4bc8fd3b1c7fa4c,26e4520dfdbdbb5,True,waymo,False,False,california,2025Q2
30270-10866,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,True,969,SADHW2S10R1,20:35,,a55b19c4d8134d2,d8b37d0763f2362,True,waymo,False,False,california,2025Q2
30270-10865,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,True,712,SADHW2S12M1,08:50,,3f78497ddd69a49,0abdc3e3d684a4f,False,waymo,False,False,california,2025Q2
30270-10892,1,Waymo LLC,Santa Monica,CA,Minor,2025-05-01,False,True,932,SADHW2S11R1,11:04,,a2ed9f0f8198649,922a650cd4fb541,True,waymo,True,False,california,2025Q2
30270-10868,1,Waymo LLC,Daly City,CA,No Injuries Reported,2025-05-01,False,True,926,SADHW2S15M1,21:08,,59f13545e1948d1,e1d17d1b67dae98,True,waymo,False,False,california,2025Q2
30270-10857,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,True,True,890,SADHW2S18R1,13:57,,6883b070cc5e15d,2fbc0f5aa555048,True,waymo,False,False,california,2025Q2
30270-10768,2,Waymo LLC,Los Angeles,CA,Minor,2025-05-01,False,False,1268,SADHW2S19R1,20:00,,3bed82ec870ce9c,9ff684673df8aff,False,waymo,True,False,california,2025Q2
30270-10854,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,True,885,SADHW2S19R1,15:15,,54d130a878bc341,a64814bf1ec68ee,True,waymo,False,False,california,2025Q2
