operator,quarter,vmt_reported,filing,is_latest
waymo,2022Q2,807112,cpuc_report,True
waymo,2022Q3,673923,cpuc_report,True
waymo,2022Q4,381722,cpuc_report,True
waymo,2023Q1,313734,cpuc_report,True
waymo,2023Q2,283086,cpuc_report,True
waymo,2023Q3,45925,cpuc_report,True
waymo,2023Q4,320724,cpuc_report,True
waymo,2024Q2,716140,cpuc_report,True
waymo,2024Q3,1630044,cpuc_report,True
waymo,2024Q4,2704894,cpuc_report,True
waymo,2025Q1,4224179,cpuc_report,True
waymo,2025Q2,4267075,cpuc_report,True
waymo,2025Q3,4892380,cpuc_report,True
waymo,2025Q4,7629471,cpuc_report,True
waymo,2026Q1,7598818,cpuc_report,True
waymo,2026Q2,7392672,cpuc_report,True
cruise,2022Q3,4077,cpuc_report,True
cruise,2022Q4,17254,cpuc_report,True
cruise,2023Q1,33202,cpuc_report,True
cruise,2023Q2,37275,cpuc_report,True
cruise,2023Q3,59268,cpuc_report,True
cruise,2023Q4,65389,cpuc_report,True
zoox,2022Q2,67,cpuc_report,True
zoox,2022Q3,88,cpuc_report,True
zoox,2022Q4,58,cpuc_report,True
zoox,2023Q1,31,cpuc_report,True
zoox,2023Q2,14,cpuc_report,True
zoox,2023Q3,34,cpuc_report,True
zoox,2023Q4,26,cpuc_report,True
zoox,2024Q2,706,cpuc_report,True
zoox,2024Q3,1429,cpuc_report,True
zoox,2024Q4,872,cpuc_report,True
zoox,2025Q1,7931,cpuc_report,True
zoox,2025Q2,12524,cpuc_report,True
zoox,2025Q3,39027,cpuc_report,True
zoox,2026Q1,65968,cpuc_report,True
wride,2025Q1,112,cpuc_report,True
wride,2026Q1,130,cpuc_report,True
wride,2026Q2,122,cpuc_report,True
